,id,name,type,rarity,event,group,standard,new
widowmaker-you-have-my-attention,widowmaker-you-have-my-attention,You have my attention,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
widowmaker-the-performance-begins,widowmaker-the-performance-begins,The performance begins,voicelines,common,UPRISING_2017,,False,False
widowmaker-your-emotions,widowmaker-your-emotions,Your emotions,voicelines,common,UPRISING_2017,,False,False
widowmaker-sorry,widowmaker-sorry,Sorry,voicelines,common,ANNIVERSARY_2017,,False,False
widowmaker-what-a-bore,widowmaker-what-a-bore,What a bore,voicelines,common,ANNIVERSARY_2017,,False,False
widowmaker-a-perfect-10,widowmaker-a-perfect-10,A perfect 10,voicelines,common,SUMMER_GAMES,,False,True
widowmaker-morning-spider,widowmaker-morning-spider,Morning spider...,voicelines,common,HALLOWEEN,,False,True
widowmaker-baiser,widowmaker-baiser,Baiser,icons,,,,False,False
widowmaker-grappling-hook,widowmaker-grappling-hook,Grappling Hook,icons,,,,False,False
widowmaker-widowmaker,widowmaker-widowmaker,Widowmaker,icons,,,,False,False
widowmaker-gymnastics,widowmaker-gymnastics,Gymnastics,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
widowmaker-lacroix,widowmaker-lacroix,Lacroix,icons,,UPRISING_2017,,False,False
widowmaker-dor,widowmaker-dor,D'or,icons,,ANNIVERSARY_2017,,False,False
widowmaker-heroic,widowmaker-heroic,Heroic,emotes,common,,,True,False
widowmaker-at-rest,widowmaker-at-rest,At Rest,emotes,epic,,,False,False
widowmaker-curtain-call,widowmaker-curtain-call,Curtain Call,emotes,epic,,,False,False
widowmaker-delighted,widowmaker-delighted,Delighted,emotes,epic,,,False,False
widowmaker-shot-dead,widowmaker-shot-dead,Shot Dead,emotes,epic,,,False,False
widowmaker-widows-kiss,widowmaker-widows-kiss,Widow's kiss,emotes,epic,,,False,False
widowmaker-ballet,widowmaker-ballet,Ballet,emotes,epic,ANNIVERSARY_2017,,False,False
widowmaker-classic,widowmaker-classic,Classic,skins,common,,,True,False
widowmaker-ciel,widowmaker-ciel,Ciel,skins,rare,,,False,False
widowmaker-nuit,widowmaker-nuit,Nuit,skins,rare,,,False,False
widowmaker-rose,widowmaker-rose,Rose,skins,rare,,,False,False
widowmaker-vert,widowmaker-vert,Vert,skins,rare,,,False,False
widowmaker-patina,widowmaker-patina,Patina,skins,epic,,,False,False
widowmaker-winter,widowmaker-winter,Winter,skins,epic,,,False,False
widowmaker-tricolore,widowmaker-tricolore,Tricolore,skins,epic,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
widowmaker-comtesse,widowmaker-comtesse,Comtesse,skins,legendary,,,False,False
widowmaker-huntress,widowmaker-huntress,Huntress,skins,legendary,,,False,False
widowmaker-odette,widowmaker-odette,Odette,skins,legendary,,,False,False
widowmaker-odile,widowmaker-odile,Odile,skins,legendary,,,False,False
widowmaker-talon,widowmaker-talon,Talon,skins,legendary,UPRISING_2017,,False,False
widowmaker-cote-dazur,widowmaker-cote-dazur,Côte d'Azur,skins,legendary,SUMMER_GAMES,,False,True
widowmaker-noire,widowmaker-noire,Noire,skins,legendary,,,False,False
widowmaker-baiser,widowmaker-baiser,Baiser,sprays,common,,,False,False
widowmaker-black-widow,widowmaker-black-widow,Black Widow,sprays,common,,,False,False
widowmaker-blood,widowmaker-blood,Blood,sprays,common,,,False,False
widowmaker-crouch,widowmaker-crouch,Crouch,sprays,common,,,False,False
widowmaker-detected,widowmaker-detected,Detected,sprays,common,,,False,False
widowmaker-emblem,widowmaker-emblem,Emblem,sprays,common,,,False,False
widowmaker-gaze,widowmaker-gaze,Gaze,sprays,common,,,False,False
widowmaker-hourglass,widowmaker-hourglass,Hourglass,sprays,common,,,False,False
widowmaker-icon,widowmaker-icon,Icon,sprays,common,,,False,False
widowmaker-in-my-sights,widowmaker-in-my-sights,In My Sights,sprays,common,,,False,False
widowmaker-je-te-vois,widowmaker-je-te-vois,Je Te Vois,sprays,common,,,False,False
widowmaker-kneeling,widowmaker-kneeling,Kneeling,sprays,common,,,False,False
widowmaker-no-one-escapes,widowmaker-no-one-escapes,No One Escapes,sprays,common,,,False,False
widowmaker-noire,widowmaker-noire,Noire,sprays,common,,,False,False
widowmaker-portrait,widowmaker-portrait,Portrait,sprays,common,,,False,False
widowmaker-scope,widowmaker-scope,Scope,sprays,common,,,False,False
widowmaker-sniper,widowmaker-sniper,Sniper,sprays,common,,,False,False
widowmaker-spider,widowmaker-spider,Spider,sprays,common,,,False,False
widowmaker-swing,widowmaker-swing,Swing,sprays,common,,,False,False
widowmaker-une-balle,widowmaker-une-balle,Une Balle,sprays,common,,,False,False
widowmaker-veuve,widowmaker-veuve,Veuve,sprays,common,,,False,False
widowmaker-widow,widowmaker-widow,Widow,sprays,common,,,False,False
widowmaker-widows-kiss,widowmaker-widows-kiss,Widow's Kiss,sprays,common,,,False,False
widowmaker-gymnastics,widowmaker-gymnastics,Gymnastics,sprays,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
widowmaker-trick-or-treat,widowmaker-trick-or-treat,Trick or Treat,sprays,common,HALLOWEEN,HALLOWEEN_2016,False,False
widowmaker-ornament,widowmaker-ornament,Ornament,sprays,common,WINTER_WONDERLAND_2016,,False,False
widowmaker-skiing,widowmaker-skiing,Skiing,sprays,common,WINTER_WONDERLAND_2016,,False,False
widowmaker-dragon-dance,widowmaker-dragon-dance,Dragon Dance,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
widowmaker-hairpin,widowmaker-hairpin,Hairpin,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
widowmaker-wedding,widowmaker-wedding,Wedding,sprays,common,UPRISING_2017,,False,False
widowmaker-queen-of-hearts,widowmaker-queen-of-hearts,Queen of Hearts,sprays,common,ANNIVERSARY_2017,,False,False
widowmaker-cute,widowmaker-cute,Cute,sprays,common,,,False,False
widowmaker-pixel,widowmaker-pixel,Pixel,sprays,common,,,False,False
widowmaker-heroic,widowmaker-heroic,Heroic,intros,common,,,True,False
widowmaker-hanging-around,widowmaker-hanging-around,Hanging Around,intros,epic,,,False,False
widowmaker-i-see-you,widowmaker-i-see-you,I see you...,intros,epic,,,False,False
widowmaker-swinging-into-action,widowmaker-swinging-into-action,Swinging into Action,intros,epic,,,False,False
widowmaker-under-the-mistletoe,widowmaker-under-the-mistletoe,Under the Mistletoe,intros,epic,WINTER_WONDERLAND_2016,,False,False
widowmaker-heroic,widowmaker-heroic,Heroic,poses,common,,,True,False
widowmaker-activating-visor,widowmaker-activating-visor,Activating Visor,poses,rare,,,False,False
widowmaker-gaze,widowmaker-gaze,Gaze,poses,rare,,,False,False
widowmaker-over-the-shoulder,widowmaker-over-the-shoulder,Over the Shoulder,poses,rare,,,False,False
widowmaker-medal,widowmaker-medal,Medal,poses,rare,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
widowmaker-rip,widowmaker-rip,R.I.P.,poses,rare,HALLOWEEN,HALLOWEEN_2016,False,False
junkrat-ticktockticktock,junkrat-ticktockticktock,Tick-tock-tick-tock,voicelines,common,,,True,False
junkrat-blow-it-up-again,junkrat-blow-it-up-again,...blow it up again,voicelines,common,,,False,False
junkrat-anyone-want-some-bbq,junkrat-anyone-want-some-bbq,Anyone want some bbq?,voicelines,common,,,False,False
junkrat-brrring,junkrat-brrring,Brrring!,voicelines,common,,,False,False
junkrat-coming-up-explodey,junkrat-coming-up-explodey,Coming up explodey!,voicelines,common,,,False,False
junkrat-happy-birthday,junkrat-happy-birthday,Happy birthday,voicelines,common,,,False,False
junkrat-have-a-nice-day,junkrat-have-a-nice-day,Have a nice day!,voicelines,common,,,False,False
junkrat-its-the-little-things,junkrat-its-the-little-things,It's the little things,voicelines,common,,,False,False
junkrat-kaboom,junkrat-kaboom,Kaboom,voicelines,common,,,False,False
junkrat-ooh-shiny,junkrat-ooh-shiny,"Ooh, shiny",voicelines,common,,,False,False
junkrat-smile,junkrat-smile,Smile!,voicelines,common,,,False,False
junkrat-i-give-it-a-10,junkrat-i-give-it-a-10,I give it a 10!,voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
junkrat-happy-halloween,junkrat-happy-halloween,Happy Halloween,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
junkrat-merry-christmas,junkrat-merry-christmas,Merry Christmas,voicelines,common,WINTER_WONDERLAND_2016,,False,False
junkrat-gong-xi-fa-cai,junkrat-gong-xi-fa-cai,Gong Xi Fa Cai,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
junkrat-come-the-raw-prawn,junkrat-come-the-raw-prawn,Come the raw prawn,voicelines,common,UPRISING_2017,,False,False
junkrat-too-right,junkrat-too-right,Too right,voicelines,common,UPRISING_2017,,False,False
junkrat-dipstick,junkrat-dipstick,Dipstick,voicelines,common,ANNIVERSARY_2017,,False,False
junkrat-oops-dropped-something,junkrat-oops-dropped-something,Oops... Dropped Something,voicelines,common,ANNIVERSARY_2017,,False,False
junkrat-i-give-it-a-3,junkrat-i-give-it-a-3,I give it a 3!,voicelines,common,SUMMER_GAMES,,False,True
junkrat-im-alive,junkrat-im-alive,I'm alive!,voicelines,common,HALLOWEEN,,False,True
junkrat-ahhhh,junkrat-ahhhh,AHHHH!,icons,,,,False,False
junkrat-have-a-nice-day,junkrat-have-a-nice-day,Have a Nice Day!,icons,,,,False,False
junkrat-junkrat,junkrat-junkrat,Junkrat,icons,,,,False,False
junkrat-tennis,junkrat-tennis,Tennis,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
junkrat-the-doctor,junkrat-the-doctor,The Doctor,icons,,HALLOWEEN,HALLOWEEN_2016,False,False
junkrat-goldrat,junkrat-goldrat,Goldrat,icons,,ANNIVERSARY_2017,,False,False
junkrat-heroic,junkrat-heroic,Heroic,emotes,common,,,True,False
junkrat-cant-deal,junkrat-cant-deal,Can't deal,emotes,epic,,,False,False
junkrat-juggling,junkrat-juggling,Juggling,emotes,epic,,,False,False
junkrat-lounging,junkrat-lounging,Lounging,emotes,epic,,,False,False
junkrat-puppet,junkrat-puppet,Puppet,emotes,epic,,,False,False
junkrat-vaudeville,junkrat-vaudeville,Vaudeville,emotes,epic,,,False,False
junkrat-dud,junkrat-dud,Dud?,emotes,epic,YEAR_OF_THE_ROOSTER_2017,,False,False
junkrat-running-rat,junkrat-running-rat,Running Rat,emotes,epic,ANNIVERSARY_2017,,False,False
junkrat-classic,junkrat-classic,Classic,skins,common,,,True,False
junkrat-bleached,junkrat-bleached,Bleached,skins,rare,,,False,False
junkrat-drowned,junkrat-drowned,Drowned,skins,rare,,,False,False
junkrat-irradiated,junkrat-irradiated,Irradiated,skins,rare,,,False,False
junkrat-rusted,junkrat-rusted,Rusted,skins,rare,,,False,False
junkrat-jailbird,junkrat-jailbird,Jailbird,skins,epic,,,False,False
junkrat-toasted,junkrat-toasted,Toasted,skins,epic,,,False,False
junkrat-firework,junkrat-firework,Firework,skins,epic,YEAR_OF_THE_ROOSTER_2017,,False,False
junkrat-fool,junkrat-fool,Fool,skins,legendary,,,False,False
junkrat-hayseed,junkrat-hayseed,Hayseed,skins,legendary,,,False,False
junkrat-jester,junkrat-jester,Jester,skins,legendary,,,False,False
junkrat-scarecrow,junkrat-scarecrow,Scarecrow,skins,legendary,,,False,False
junkrat-dr-junkenstein,junkrat-dr-junkenstein,Dr. Junkenstein,skins,legendary,HALLOWEEN,HALLOWEEN_2016,False,False
junkrat-cricket,junkrat-cricket,Cricket,skins,legendary,SUMMER_GAMES,,False,True
junkrat-ahhhh,junkrat-ahhhh,AHHHH!,sprays,common,,,False,False
junkrat-bang-bang,junkrat-bang-bang,Bang Bang,sprays,common,,,False,False
junkrat-crazy,junkrat-crazy,Crazy,sprays,common,,,False,False
junkrat-fireball,junkrat-fireball,Fireball,sprays,common,,,False,False
junkrat-firework,junkrat-firework,Firework,sprays,common,,,False,False
junkrat-for-you,junkrat-for-you,For You,sprays,common,,,False,False
junkrat-frag,junkrat-frag,Frag,sprays,common,,,False,False
junkrat-fuse,junkrat-fuse,Fuse,sprays,common,,,False,False
junkrat-grin,junkrat-grin,Grin,sprays,common,,,False,False
junkrat-icon,junkrat-icon,Icon,sprays,common,,,False,False
junkrat-junk,junkrat-junk,Junk,sprays,common,,,False,False
junkrat-kaboom,junkrat-kaboom,Kaboom!,sprays,common,,,False,False
junkrat-mad,junkrat-mad,Mad,sprays,common,,,False,False
junkrat-mayhem,junkrat-mayhem,Mayhem,sprays,common,,,False,False
junkrat-mine,junkrat-mine,Mine,sprays,common,,,False,False
junkrat-minefield,junkrat-minefield,Minefield,sprays,common,,,False,False
junkrat-rolling,junkrat-rolling,Rolling,sprays,common,,,False,False
junkrat-smile,junkrat-smile,Smile,sprays,common,,,False,False
junkrat-smoke,junkrat-smoke,Smoke,sprays,common,,,False,False
junkrat-spin,junkrat-spin,Spin,sprays,common,,,False,False
junkrat-trapper,junkrat-trapper,Trapper,sprays,common,,,False,False
junkrat-vroom,junkrat-vroom,Vroom!!,sprays,common,,,False,False
junkrat-wanted,junkrat-wanted,Wanted,sprays,common,,,False,False
junkrat-tennis,junkrat-tennis,Tennis,sprays,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
junkrat-trick-or-treat,junkrat-trick-or-treat,Trick or Treat,sprays,common,HALLOWEEN,HALLOWEEN_2016,False,False
junkrat-winter,junkrat-winter,"""WINTER""",sprays,common,WINTER_WONDERLAND_2016,,False,False
junkrat-ornament,junkrat-ornament,Ornament,sprays,common,WINTER_WONDERLAND_2016,,False,False
junkrat-dragon-dance,junkrat-dragon-dance,Dragon Dance,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
junkrat-im-flying,junkrat-im-flying,I'm flying!,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
junkrat-sidecar,junkrat-sidecar,Sidecar,sprays,common,UPRISING_2017,,False,False
junkrat-joker,junkrat-joker,Joker,sprays,common,ANNIVERSARY_2017,,False,False
junkrat-cute,junkrat-cute,Cute,sprays,common,,,False,False
junkrat-pixel,junkrat-pixel,Pixel,sprays,common,,,False,False
junkrat-heroic,junkrat-heroic,Heroic,intros,common,,,True,False
junkrat-im-flying,junkrat-im-flying,I'm Flying!,intros,epic,,,False,False
junkrat-riptire,junkrat-riptire,RIP-Tire,intros,epic,,,False,False
junkrat-unfortunate,junkrat-unfortunate,Unfortunate,intros,epic,,,False,False
junkrat-shot-put,junkrat-shot-put,Shot Put,intros,epic,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
junkrat-heroic,junkrat-heroic,Heroic,poses,common,,,True,False
junkrat-itll-freeze-that-way,junkrat-itll-freeze-that-way,It'll Freeze That Way,poses,rare,,,False,False
junkrat-kneeling,junkrat-kneeling,Kneeling,poses,rare,,,False,False
junkrat-nyah-nyah,junkrat-nyah-nyah,Nyah nyah,poses,rare,,,False,False
junkrat-rip,junkrat-rip,R.I.P.,poses,rare,HALLOWEEN,HALLOWEEN_2016,False,False
junkrat-bad-for-your-health,junkrat-bad-for-your-health,Bad for Your Health,poses,rare,YEAR_OF_THE_ROOSTER_2017,,False,False
junkrat-medal,junkrat-medal,Medal,poses,rare,SUMMER_GAMES,,False,True
junkrat-pumpkin,junkrat-pumpkin,Pumpkin,poses,rare,HALLOWEEN,,False,True
bastion-doowoo,bastion-doowoo,Doo-woo,voicelines,common,,,True,False
bastion-beeple,bastion-beeple,Beeple,voicelines,common,,,False,False
bastion-boo-boo-doo-de-doo,bastion-boo-boo-doo-de-doo,Boo boo doo de doo,voicelines,common,,,False,False
bastion-bweeeeeeeeeee,bastion-bweeeeeeeeeee,Bweeeeeeeeeee,voicelines,common,,,False,False
bastion-chirr-chirr-chirr,bastion-chirr-chirr-chirr,Chirr chirr chirr,voicelines,common,,,False,False
bastion-dahdah-weeeee,bastion-dahdah-weeeee,DAH-DAH WEEEEE!,voicelines,common,,,False,False
bastion-dun-dun-boop-boop,bastion-dun-dun-boop-boop,Dun dun boop boop,voicelines,common,,,False,False
bastion-dweet-dweet-dweet,bastion-dweet-dweet-dweet,Dweet dweet dweet!,voicelines,common,,,False,False
bastion-hee-hoo-hoo,bastion-hee-hoo-hoo,Hee hoo hoo,voicelines,common,,,False,False
bastion-shshsh,bastion-shshsh,Sh-sh-sh,voicelines,common,,,False,False
bastion-zwee,bastion-zwee,Zwee?,voicelines,common,,,False,False
bastion-whoovweeeeee,bastion-whoovweeeeee,WHOO-VWEEEEEE,voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
bastion-wwwooooo,bastion-wwwooooo,W-W-Wooooo...?,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
bastion-dwee-doo-hoo,bastion-dwee-doo-hoo,DWEE DOO HOO,voicelines,common,WINTER_WONDERLAND_2016,,False,False
bastion-woop-doo-woo-dun-woop,bastion-woop-doo-woo-dun-woop,Woop doo woo dun woop,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
bastion-dwee-wee-woh,bastion-dwee-wee-woh,DWEE WEE WOH,voicelines,common,UPRISING_2017,,False,False
bastion-zweeah-wheee-doo-woo,bastion-zweeah-wheee-doo-woo,ZWEE-AH WHEEE DOO WOO,voicelines,common,UPRISING_2017,,False,False
bastion-bewwoo-bewwoo,bastion-bewwoo-bewwoo,BEW-WOO BEW-WOO,voicelines,common,ANNIVERSARY_2017,,False,False
bastion-doo-dun-dun-woo,bastion-doo-dun-dun-woo,DOO DUN DUN WOO,voicelines,common,ANNIVERSARY_2017,,False,False
bastion-doododoo-dee,bastion-doododoo-dee,Doo-do-doo Dee!,voicelines,common,SUMMER_GAMES,,False,True
bastion-oooooooooooo,bastion-oooooooooooo,Oooooooooooo...,voicelines,common,HALLOWEEN,,False,True
bastion-bastion,bastion-bastion,Bastion,icons,,,,False,False
bastion-ganymede,bastion-ganymede,Ganymede,icons,,,,False,False
bastion-tank-crossing,bastion-tank-crossing,Tank Crossing,icons,,,,False,False
bastion-boxing,bastion-boxing,Boxing,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
bastion-goldbot,bastion-goldbot,Goldbot,icons,,ANNIVERSARY_2017,,False,False
bastion-heroic,bastion-heroic,Heroic,emotes,common,,,True,False
bastion-alert-alert,bastion-alert-alert,Alert! Alert!,emotes,epic,,,False,False
bastion-chortle,bastion-chortle,Chortle,emotes,epic,,,False,False
bastion-dizzy,bastion-dizzy,Dizzy,emotes,epic,,,False,False
bastion-rest-mode,bastion-rest-mode,Rest Mode,emotes,epic,,,False,False
bastion-robot,bastion-robot,Robot,emotes,epic,,,False,False
bastion-boxing,bastion-boxing,Boxing,emotes,epic,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
bastion-robo-boogie,bastion-robo-boogie,Robo Boogie,emotes,epic,ANNIVERSARY_2017,,False,False
bastion-classic,bastion-classic,Classic,skins,common,,,True,False
bastion-dawn,bastion-dawn,Dawn,skins,rare,,,False,False
bastion-meadow,bastion-meadow,Meadow,skins,rare,,,False,False
bastion-sky,bastion-sky,Sky,skins,rare,,,False,False
bastion-soot,bastion-soot,Soot,skins,rare,,,False,False
bastion-defense-matrix,bastion-defense-matrix,Defense Matrix,skins,epic,,,False,False
bastion-omnic-crisis,bastion-omnic-crisis,Omnic Crisis,skins,epic,,,False,False
bastion-tombstone,bastion-tombstone,Tombstone,skins,epic,HALLOWEEN,HALLOWEEN_2016,False,False
bastion-rooster,bastion-rooster,Rooster,skins,epic,YEAR_OF_THE_ROOSTER_2017,,False,False
bastion-null-sector,bastion-null-sector,Null Sector,skins,epic,UPRISING_2017,,False,False
bastion-blizzcon-2016,bastion-blizzcon-2016,BlizzCon 2016,skins,epic,,,False,False
bastion-antique,bastion-antique,Antique,skins,legendary,,,False,False
bastion-gearbot,bastion-gearbot,Gearbot,skins,legendary,,,False,False
bastion-steambot,bastion-steambot,Steambot,skins,legendary,,,False,False
bastion-woodbot,bastion-woodbot,Woodbot,skins,legendary,,,False,False
bastion-dune-buggy,bastion-dune-buggy,Dune Buggy,skins,legendary,ANNIVERSARY_2017,,False,False
